Location;Date;Flpl_NFP;Age;Water height;Plant repeat;Dead;Species;Nb leaves;Presence_Roots;Nb stems;Av length stems;Std length;Av nb nods/stem;Av length internods;Std length internods;;
18;120118;Nfp;57;20;1;A;L;47;I;3;109,3;63,0;12,0;7,9;2,2;;
18;120118;Nfp;57;20;2;A;L;70;II;5;54,8;23,9;7,2;6,7;2,7;;
18;120118;Nfp;57;20;3;D;;;;0;;;;0,0;;;
16;120118;Nfp;57;20;1;A;L;21;N;2;48,0;12,7;6,0;7,1;1,0;;
16;120118;Nfp;57;20;2;A;L;13;N;2;41,0;0,0;8,0;4,6;0,0;;
16;120118;Nfp;57;20;3;A;L;54;II;4;75,5;35,4;8,5;7,7;1,7;;
7;120118;Nfp;57;80;1;A;L;64;II;4;147,3;91,3;14,0;9,3;1,5;;
7;120118;Nfp;57;80;2;A;L;27;I;1;117,0;;19,0;5,9;;;
7;120118;Nfp;57;80;3;D;;;;0;;;;0,0;;;
6;120118;Nfp;57;50;1;A;L;56;I;4;91,3;43,6;11,8;29,1;37,6;;
6;120118;Nfp;57;50;2;A;L;74;I;2;200,5;98,3;21,0;1,4;0,7;;
6;120118;Nfp;57;50;3;A;L;92;II;6;141,2;34,9;15,2;94,6;80,6;;
44;120118;Nfp;57;50;1;A;L;24;N;2;166,5;19,1;18,5;4,7;4,9;;
44;120118;Nfp;57;50;2;A;S;65;I;3;52,0;55,4;9,7;52,0;55,4;;
44;120118;Nfp;57;50;3;D;;;;0;;;;;;;
29;120118;Nfp;57;50;1;A;L;55;II;4;89,0;62,2;10,3;0,7;0,5;;
29;120118;Nfp;57;50;2;A;S;;II;8;96,0;39,9;11,4;96,0;39,9;;
29;120118;Nfp;57;50;3;D;;;;0;;;;;;;
NF21;120118;Nfp;21;0;1;A;L;23;N;3;67,7;25,0;4,7;21,3;35,2;;
NF21;120118;Nfp;21;0;2;A;S;23;N;2;69,5;36,1;4,5;1,9;0,9;;
NF21;120118;Nfp;21;0;3;A;L;26;N;2;36,0;1,4;3,5;1,0;0,1;;
NF21;120118;Nfp;21;0;4;A;L;21;N;3;42,3;12,1;4,7;0,9;0,5;;
NF21;120118;Nfp;21;0;5;A;L;24;N;3;51,3;18,6;6,0;12,5;20,4;;
NF21;120118;Nfp;21;0;6;A;L;29;N;2;87,5;6,4;9,0;1,9;0,3;;
NF21;120118;Nfp;21;0;7;A;L;49;N;3;44,3;8,4;5,3;1,7;1,3;;
NF21;120118;Nfp;21;0;8;A;L;14;N;3;37,0;23,3;3,7;0,8;0,6;;
NF21;120118;Nfp;21;0;9;A;L;22;N;3;52,3;10,4;4,3;15,3;24,9;;
NF35;120201;Nfp;35;0;1;A;L;37;N;2;71,5;29,0;7,0;11,5;9,7;;
NF35;120201;Nfp;35;0;2;A;L;30;N;4;28,0;8,9;3,8;6,2;1,3;;
NF35;120201;Nfp;35;0;3;A;S;12;N;2;57,0;24,0;4,0;11,2;1,6;;
NF35;120201;Nfp;35;0;4;A;L;21;N;2;39,5;29,0;4,5;6,9;0,8;;
NF35;120201;Nfp;35;0;5;A;L;25;N;4;30,8;14,9;4,5;6,6;2,7;;
NF35;120201;Nfp;35;0;6;A;L;21;N;1;55,0;;9,0;5,5;;;
NF35;120201;Nfp;35;0;7;A;S;16;N;2;38,0;11,3;6,0;5,4;0,5;;
NF35;120201;Nfp;35;0;8;A;L;26;N;3;53,0;12,0;6,3;7,5;2,9;;
NF35;120201;Nfp;35;0;9;A;S;7;N;1;45,0;;8,0;5,0;;;
NF49;120215;Nfp;49;0;1;A;L;26;N;3;52,7;34,5;7,0;0,1;;;
NF49;120215;Nfp;49;0;2;A;L;47;N;3;110,3;58,0;11,7;0,4;0,3;;
NF49;120215;Nfp;49;0;3;A;L;58;N;3;47,0;33,0;7,3;0,2;0,1;;
NF49;120215;Nfp;49;0;4;A;L;54;N;5;49,6;48,4;9,8;1,2;2,2;;
NF49;120215;Nfp;49;0;5;A;L;69;N;4;73,8;32,3;10,5;1,3;1,8;;
NF49;120215;Nfp;49;0;6;A;L;37;N;3;39,7;23,9;7,3;0,1;0,0;;
NF49;120215;Nfp;49;0;7;A;L;24;N;3;61,3;23,2;7,3;0,1;0,0;;
NF49;120215;Nfp;49;0;8;A;L;30;N;3;55,3;27,5;7,7;0,1;0,1;;
NF49;120215;Nfp;49;0;9;A;L;38;N;3;56,0;26,1;9,3;9,3;4,2;;
